logFC.t,AveExpr.t,t.t,P.Value.t,adj.P.Val.t,B.t,#NAME?,gene,ID,logFC.s,AveExpr.s,t.s,P.Value.s,adj.P.Val.s,B.s,#NAME?,UniProtID
-0.368529575,21.84992561,-3.777288944,0.002668003,0.099452382,-1.447685439,1.002384809,CRAC1,sp|Q9NQ79|CRAC1_HUMAN,-0.397866496,21.83248606,-3.553394787,0.004195644,0.315655191,-1.812005962,0.500787064,Q9NQ79
0.772588238,12.78654921,3.78739256,0.002619564,0.099452382,-1.430278703,1.002384809,SDHB,sp|P21912|SDHB_HUMAN,0.528200974,12.97078456,3.207493268,0.007859197,0.397469758,-2.396453486,0.400695909,P21912
0.642509658,15.5099899,3.771368991,0.002696811,0.099452382,-1.45788819,1.002384809,CDC5L,sp|Q99459|CDC5L_HUMAN,0.45417938,15.375754,2.158224229,0.052698132,0.589635363,-4.135460023,0.229416478,Q99459
-0.812680972,12.96322103,-3.772753092,0.002690047,0.099452382,-1.455502515,1.002384809,ALG3,sp|Q92685|ALG3_HUMAN,-0.577174666,13.04756115,-2.038481765,0.065034864,0.609740801,-4.321168992,0.214854743,Q92685
-0.666870672,13.57870507,-3.798493496,0.002567385,0.099452382,-1.411163123,1.002384809,CIA2A,sp|Q9H5X1|CIA2A_HUMAN,-0.268841939,13.61943186,-1.875742046,0.086146815,0.63634137,-4.565826084,0.196309841,Q9H5X1
0.688888466,14.48024594,3.736950293,0.002870746,0.103594105,-1.517260289,0.984664957,CXXC1,sp|Q9P0U4|CXXC1_HUMAN,1.211168971,14.42799314,2.898528332,0.013821147,0.457044243,-2.919536396,0.340041757,Q9P0U4
0.618252486,20.47898882,3.736797216,0.002871545,0.103594105,-1.517524545,0.984664957,ZEP1,sp|P15822|ZEP1_HUMAN,0.273433733,20.68509585,2.033225988,0.065633946,0.609740801,-4.329216573,0.214854743,P15822
0.647292455,18.23831545,3.722671203,0.002946247,0.104027592,-1.541917531,0.982851456,MTP,sp|P55157|MTP_HUMAN,0.182885064,18.04723071,0.827693459,0.424593484,0.872069692,-5.804851411,0.059448807,P55157
-1.331676941,12.02461689,-3.727161193,0.002922289,0.104027592,-1.534162584,0.982851456,CSN7A,sp|Q9UBW8|CSN7A_HUMAN,-0.093127134,12.24307729,-0.387519123,0.705408732,0.957324731,-6.07240139,0.018940722,Q9UBW8
0.410488264,13.35794269,3.713833016,0.002993997,0.104600788,-1.557186749,0.980465044,RL12,sp|P30050|RL12_HUMAN,-0.107116905,13.55233821,-0.604255148,0.557341362,0.913137077,-5.963379596,0.039464023,P30050
-2.225328095,12.08166143,-3.699810481,0.00307139,0.105092203,-1.581423985,0.978429503,MUCEN,sp|Q9ULC0|MUCEN_HUMAN,-0.721056052,12.8274542,-1.390026591,0.190693576,0.752526853,-5.225855878,0.123477998,Q9ULC0
-0.50920284,17.75069683,-3.705066065,0.003042146,0.105092203,-1.572338365,0.978429503,NP1L4,sp|Q99733|NP1L4_HUMAN,0.023590696,17.80376723,0.166230235,0.870846238,0.984447773,-6.135491232,0.006807319,Q99733
1.161272686,23.06709963,3.67118736,0.003235797,0.109587844,-1.630939412,0.960237615,FIBG,sp|P02679|FIBG_HUMAN,0.843289649,22.941615,3.751221629,0.002941472,0.246622133,-1.48081666,0.60796795,P02679
0.865573288,14.18260788,3.660173681,0.003301435,0.110681455,-1.650006556,0.955925142,TEN2,sp|Q9NT68|TEN2_HUMAN,0.535658288,14.19331296,1.445396488,0.174892352,0.737165441,-5.15697703,0.132435033,Q9NT68
