Reference,Protein.Accession,GeneName,S01_41,S03_28,S05_51,S07_43,S09_24,S11_21,S13_52,S15_11,S17_14,S19_55,S02_44,S04_31,S06_60,S08_46,S10_26,S12_25,S14_53,S16_13,S18_16,S20_50,T01_42,T03_54,T05_27,T07_15,T09_39,T11_12,T13_29,T15_18,T17_47,T19_58,T02_40,T04_57,T06_30,T08_10,T10_38,T12_17,T14_22,T16_19,T18_48,T20_59,Accession_primary
sp|P03952|KLKB1_HUMAN,P03952,KLKB1,15185293.24,8227111.468,11738732.73,5708803.349,11832639.67,11207344.72,9116329.243,12223020.71,5768776.06,4511967,17418992.68,10294782.79,10135885.09,5937151.99,12437020.94,19186526.31,14467380,17812113.65,4818983.458,5834517.197,19319082.5,9158480.157,12921161.22,13861058.53,7138159.988,8440073.234,8114453.619,8173218.084,6517006.082,10863789.62,18738382.96,19809675.17,14679383.58,13426589.17,6652361.231,11252912.02,7465278.934,14329480.98,4913082.481,14310553,P03952
sp|P03973|SLPI_HUMAN,P03973,SLPI,22368.33685,8362.216281,10056.67722,34478.29099,19851.13342,35179.30396,24514.0587,12600.35273,24314.29851,24720,8532.997263,17701.38048,26843.7931,5690.018657,12819.94182,72765.43635,13440,36320.67972,8468.70317,16046.6973,42191.90048,6830.154115,15456.1482,24325.63422,23011.27336,11877.90918,9315.707719,23198.41549,5070.0783,27283.2158,26358.98089,8333.054268,21630.42882,10607.80114,10384.93788,14259.04859,7225.956113,46203.05977,20565.89443,38014.13862,P03973
sp|P04003|C4BPA_HUMAN,P04003,C4BPA,221849812.9,499196870.2,227680889.9,624316198,275117218.2,262256249.2,602869163.5,271704730.4,380586081.1,420972915.9,260545344.4,436499301.6,263276998,339598538.3,180388228.3,232554097,360573453,246324937.8,328955120.5,304031547.4,352038604.5,278776640.3,275866383.1,312811840.9,523713519.3,289071318.8,360574338.5,307879422.6,394687696.8,441229000.8,222731368.9,529371167.5,276644124.3,290823180.8,195565231.3,251093264.9,256722618.3,212000770.9,417831026.3,175594349.8,P04003
sp|P04004|VTNC_HUMAN,P04004,VTN,1736508004,1839513704,1407313013,1687085207,1535451885,1676316896,1679766800,1902386298,2348507027,1683490690,1693675796,1559893488,1500764308,1215097763,1331003502,1838789112,1807594500,2200264750,1872559632,1498334374,2104924211,1712300528,1547333724,1613449929,1660981959,1844132000,1479104378,1847996062,2090445821,1806055724,1578408469,1757304310,1767504016,1864597619,1309654736,1922685772,1709065392,1662928289,1526678023,1479326554,P04004
sp|P04040|CATA_HUMAN,P04040,CAT,399039.3299,422174.9815,522872.5633,344909.3822,481163.5363,742081.9137,411100.6551,487621.7637,1818462.06,453230,314585.1073,727386.0252,559617.5517,362570.5037,532338.009,469860.4317,546911,413523.8479,339894.121,739817.5905,314237.7819,360141.1893,333621.3893,386178.1416,599237.9673,266981.3491,296743.7502,591876.027,1221973.686,499663.103,257846.7374,422748.8414,370410.9777,340079.5431,482334.4727,266315.0841,558778.7492,277737.7063,353336.0997,433993.0229,P04040
sp|P04062|GLCM_HUMAN,P04062,GBA1,22683.67039,20157.88725,7166.582278,17978.52194,20898.80181,13408.41548,17333.6144,16622.16343,16015.04478,19070,16279.67737,25495.57973,11992.55172,20601.43035,16065.77246,19290.27213,15080,16684.99424,22074.95677,13104.48018,16252.35574,17099.88369,13701.72469,16442.41888,13474.09463,17339.58242,12264.25741,28379.98826,8396.728188,19611.59379,9320.566171,13582.77769,23110.22298,26016.45249,17356.35596,15307.90695,11979.87461,20868.33478,17027.88856,15298.87813,P04062
sp|P04070|PROC_HUMAN,P04070,PROC,39795753.24,56262091.53,36876086.36,35836700.64,41200607.25,37740366.05,53834840.15,48944940.92,50192478.21,37945580,47812927.06,43292296.5,41138531.28,31274941.29,32195579.28,41478406.94,54372900,47946888.54,47959858.79,34540651.44,39499682.58,47817938.35,35543210.25,34096655.96,35257237.24,38126415.54,30271541.8,38224580.99,51428687.92,42517517.07,44314760.65,51063324.2,43078866.07,38196942.17,30062311.98,44531903.89,42478448.56,34759204.91,48039399.41,40461441.22,P04070
sp|P04075|ALDOA_HUMAN,P04075,ALDOA,1302391.582,1730428.574,1159764.171,1536777.068,1240621.629,1740040.177,3177660.269,1202914.665,1856835.797,1863709,1513834.288,1994121.013,1698685.686,2047986.514,1091580.469,1066822.674,1166155,998704.159,1683047.925,1023794.773,885269.0286,1868071.649,1121090.613,1145973.968,1153900.204,1153415.836,1775980.919,873678.4331,1212957.805,1496059.453,1222469.05,842898.0117,1411434.614,1124744.062,1872866.311,995881.9726,1767007.207,691817.4031,2016556.61,1115931.452,P04075
sp|P04083|ANXA1_HUMAN,P04083,ANXA1,113560.7606,101475.7438,101563.9082,96058.62009,75564.17422,307419.3936,97851.8599,124061.9636,92625.70746,346210,119674.5585,134376.0286,81335.53103,97564.43408,151345.0226,139680.5443,73182,93031.21832,76548.53026,292241.5221,90129.21387,62708.0663,91324.7397,62689.05811,251500.0292,157313.9028,102280.4882,90305.71596,73782.83277,122397.0691,155351.0375,87959.56944,65302.16055,71051.48949,133773.8815,115020.8822,157026.1536,103854.4313,60315.09384,158915.6724,P04083
sp|P04085|PDGFA_HUMAN,P04085,PDGFA,100459.1609,69493.42966,46444.14557,76194.68822,69910.03886,46442.37296,53279.55246,89084.09759,57320.1791,62150,96008.35374,49902.58416,56755.44828,85748.47637,61932.19134,65713.41883,87990,81541.96429,46412.76657,41723.34865,102616.4108,66665.04798,46626.76461,50520.17699,57429.76051,34029.66856,74792.74053,69872.12441,45131.23602,69890.66291,97002.57608,90393.99013,65284.35678,62750.0649,42483.36802,48591.07617,44021.28527,55013.08526,30646.24633,57549.4698,P04085
sp|P04114|APOB_HUMAN,P04114,APOB,103299788.1,138856819.4,187122322.5,492483172.6,271128475.3,163345269.8,277095202.4,127491721.1,412986343.5,179363345.7,156498765.5,125835861.9,166618094.4,582998961.6,166889246.6,223249006.3,264948142,123854274.9,329696180.5,176139830.6,129959904,209007360.3,211712068.8,195813581.6,169180907.1,106456519.2,147125912,598230539.7,169651299.7,172231588.2,138079599.1,263510104.2,221235167.9,235744833,165745752.6,154845960.9,191220350.5,621752892.6,228792981.3,191086372.9,P04114
sp|P04156|PRIO_HUMAN,P04156,PRNP,1342.710534,2166.277945,3050.063291,394.982679,6155.051813,508.972506,1008.759527,1317.489712,6226.955224,1050,4649.94959,488.1400884,2591.413793,1299.378109,2330.898513,5597.341257,2820,3601.008065,272.9020173,3987.478461,3139.862361,3704.158186,1689.8435,2415.663717,2037.353972,3582.070375,3076.747504,3342.312207,2676.39821,2195.96615,705.9589526,532.0257139,1329.502573,4461.838006,3465.083542,1672.748249,3053.0721,2634.509233,1472.521994,1491.562932,P04156
sp|P04179|SODM_HUMAN,P04179,SOD2,88399.17899,61983.34661,110196.8671,59426.40878,68507.69106,109109.3665,91556.67586,67340.56437,85847.4806,61910,68927.0085,68603.16219,94325.13793,70709.22264,67887.9638,60335.33312,62374,50120.40265,52055.33141,50458.34607,58275.66702,92025.79238,89057.65858,59749.40413,46309.94159,60165.9892,93412.83183,49627.40317,68310.35235,55299.37094,77844.3765,51009.17447,90640.86106,89446.61961,98088.6774,55018.31746,87484.77743,49660.21575,104968.088,75607.73936,P04179
sp|P04180|LCAT_HUMAN,P04180,LCAT,1505819.348,1555521.759,1230967.152,1576175.462,2012920.207,1508956.809,1468373.537,2000494.209,1704349.836,1318830,1704211.378,1436907.956,1070044.724,1206556.405,1839166.063,2100552.518,1690180,2644838.508,1266226.513,1422426.479,2396562.388,1264529.049,1284022.74,2182030.265,1754516.092,1393759.965,1920296.402,1826079.196,1361344.295,1756116.982,1975874.168,1995771.535,1490382.442,2116682.827,1033966.491,1578260.578,1566709.831,2025928.157,964856.695,1448705.357,P04180
sp|P04196|HRG_HUMAN,P04196,HRG,16594731.4,13653535.16,20085672.44,9735875.52,13182172.98,11784668.41,10839989.98,14342935.95,8114239.725,9293865,18618485.52,13428901.13,14627973.07,9605709.26,16172021.13,15627390.99,15265425,20987714.54,7768472.527,10674547.59,16875340.12,11055074.8,15496064.56,13005427.45,10631163.02,13494660.9,13336738.94,11139669.48,10073059.11,11219348.86,20153811.58,15119286.09,16774531.65,16646374.07,10711057.93,14806016.47,14614770.91,17910025.48,10125178.84,17314057.34,P04196
sp|P04211|LV743_HUMAN,P04211,IGLV7-43,32695866.13,2432011.235,1673695.57,1837253.176,3133510.687,2591928.805,1559096.319,2308677.837,1283044.507,1781800,39305567.62,2431762.666,1932753.103,1848889.303,2985074.984,3435428.808,2570000,3429305.012,1282056.772,2836239.23,35502388.04,1081986.566,1780094.059,2661305.9,2491280.374,3259388.816,2660318.275,3189831.573,1023449.021,3555278.702,39812936.73,2530346.539,1877257.633,2812543.646,2883753.902,3300015.83,2581272.1,5063262.35,756886.1877,3853722.145,P04211
sp|P04217|A1BG_HUMAN,P04217,A1BG,12208585.36,5726689.943,12047078.13,4416092.168,11196235.69,9149792.172,6892743.46,12614349.82,5615842.442,4828630,14530315.86,5679262.421,7381985,4137684.219,15151101.75,16712986.36,11758630,20949616.65,3923167.533,5584554.561,22565557.46,7669851.498,14951304.76,15359813.83,9445362.97,7849044.415,8569874.211,9946543.134,5179188.647,12407161.21,14105956.63,13970894.48,11982008.99,11847120.39,6772872.918,10503566.02,7052395.831,17683534.17,2946773.46,18440492.92,P04217
sp|P04259|K2C6B_HUMAN,P04259,KRT6B,488746.6345,308538.3668,592954.9127,542319.0012,491890.1328,490289.384,321595.3786,260804.5179,635446.194,437151,455142.6962,246453.4512,329658.0483,489053.4359,1236868.423,330093.4501,531614,383472.4165,349489.3948,527468.8771,494515.8338,312084.1466,360232.7649,356389.9263,408670.5695,339368.6932,375550.1506,758608.9525,650370.4195,277026.3583,697619.097,385747.8637,317540.7067,1400153.2,625135.1031,366779.4398,306061.4984,1469357.393,287082.4927,819272.0148,P04259
